Rank;English translation;Infinitive;Conjugation group;Conjugation suffix;Colloquial;Perfective aspect;Aspect pairs;Refexive aspect;Movement aspect;я;ты;он/она́/оно́;мы;вы;они́;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
0;send (secretly);подсылать;;;;несовер.;подсылать/подослать;not reflexive;not movement;подсылаю;подсылаешь;подсылает;подсылаете;подсылаем;подсылают;подсылай;подсылайте;подсылая;подсылав, *подсылавши;подсылающий;подсылавший;подсылаемый;
3177;promise;пообещать;;;;совер.;обещать/пообещать;not reflexive;not movement;пообещаю;пообещаешь;пообещает;пообещаете;пообещаем;пообещают;пообещай;пообещайте;;пообещав;;пообещавший;;пообещанный
3179;begin to ache, ache;заболеть;;;;совер.;заболевать/заболеть;not reflexive;movement;заболю;заболишь;заболит;заболите;заболим;заболят;заболи;заболите;;заболев;;заболевший;;
0;fall sick / ill (of), be taken ill (with);заболевать;;;;несовер.;заболевать/заболеть;not reflexive;movement;заболеваю;заболеваешь;заболевает;заболеваете;заболеваем;заболевают;заболевай;заболевайте;заболевая;заболевав, *заболевавши;заболевающий;заболевавший;заболевающий;заболевавший
3180;shake, rock;потрясти;;;;совер.;потрясать/потрясти;not reflexive;not movement;потрясу;потрясёшь;потрясёт;потрясёте;потрясём;потрясут;потряси;потрясите;;потрясши, потряся;;потрясший;;потрясённый
3183;turn, swing;поворачиваться;;;;несовер.;поворачиваться/повернуться;reflexive;not movement;поворачиваюсь;поворачиваешься;поворачивается;поворачиваетесь;поворачиваемся;поворачиваются;поворачивайся;поворачивайтесь;поворачиваясь;поворачивавшись;поворачивающийся;поворачивавшийся;поворачивающийся;поворачивавшийся
3185;write down, note (down);записывать;;;;несовер.;записывать/записать;not reflexive;not movement;записываю;записываешь;записывает;записываете;записываем;записывают;записывай;записывайте;записывая;записывав;записывающий;записывавший;записываемый;
3187;click, crack;щелкнуть;;;;совер.;щелкать/щелкнуть;not reflexive;not movement;;;;;;;;;;;;;;
0;click, crack;щелкать;;;;несовер.;щелкать/щелкнуть;not reflexive;not movement;;;;;;;;;;;;;;
3199;fill, crowd;наполнить;;;;совер.;наполнять/наполнить;not reflexive;not movement;наполню;наполнишь;наполнит;наполните;наполним;наполнят;наполни;наполните;;наполнив;;наполнивший;;наполненный
0;fill, crowd;наполнять;;;;несовер.;наполнять/наполнить;not reflexive;not movement;наполняю;наполняешь;наполняет;наполняете;наполняем;наполняют;наполняй;наполняйте;наполняя;наполняв, *наполнявши;наполняющий;наполнявший;наполняемый;
3202;pass / drive / ride through (past / by / along);проехать;;;;совер.;проезжать/проехать;not reflexive;not movement;проеду;проедешь;проедет;проедете;проедем;проедут;;;;проехав;;проехавший;;
0;pass / drive / ride through (past / by / along);проезжать;;;;несовер.;проезжать/проехать;not reflexive;not movement;проезжаю, проезживаю;проезжаешь, проезживаешь;проезжает, проезживает;проезжаете, проезживаете;проезжаем, проезживаем;проезжают, проезживают;проезжай, проезживай;проезжайте, проезживайте;проезжая, проезживая;проезжав, проезживав, *проезжавши, *проезживавши;проезжающий, проезживающий;проезжавший, проезживавший;проезжаемый, проезживаемый;
3203;take away / off / from;отобрать;;;;совер.;отбирать/отобрать;not reflexive;not movement;отберу;отберёшь;отберёт;отберёте;отберём;отберут;отбери;отберите;;отобрав;;отобравший;;отобранный
0;take away / off / from;отбирать;;;;несовер.;отбирать/отобрать;not reflexive;not movement;отбираю;отбираешь;отбирает;отбираете;отбираем;отбирают;отбирай;отбирайте;отбирая;отбирав, *отбиравши;отбирающий;отбиравший;отбираемый;
3211;destroy, demolish;разрушить;;;;совер.;разрушать/разрушить;not reflexive;not movement;разрушу;разрушишь;разрушит;разрушите;разрушим;разрушат;разрушь;разрушьте;;разрушив;;разрушивший;;разрушенный
0;destroy, demolish;разрушать;;;;несовер.;разрушать/разрушить;not reflexive;not movement;разрушаю;разрушаешь;разрушает;разрушаете;разрушаем;разрушают;разрушай;разрушайте;разрушая;разрушав, *разрушавши;разрушающий;разрушавший;разрушаемый;
3215;listen (to), hear out;выслушать;;;;совер.;выслушивать/выслушать;not reflexive;not movement;выслушаю;выслушаешь;выслушает;выслушаете;выслушаем;выслушают;выслушай;выслушайте;;выслушав;;выслушавший;;выслушанный
0;listen (to), hear out;выслушивать;;;;несовер.;выслушивать/выслушать;not reflexive;not movement;выслушиваю;выслушиваешь;выслушивает;выслушиваете;выслушиваем;выслушивают;выслушивай;выслушивайте;выслушивая;выслушивав, *выслушивавши;выслушивающий;выслушивавший;выслушиваемый;
3217;take a leap / jump;прыгнуть;;;;совер.;;not reflexive;movement;прыгну;прыгнешь;прыгнет;прыгнете;прыгнем;прыгнут;прыгни;прыгните;;прыгнув;;прыгнувший;;
3221;entrust (to), commit (to);доверять;;;;несовер.;доверять/доверить;not reflexive;not movement;доверяю;доверяешь;доверяет;доверяете;доверяем;доверяют;доверяй;доверяйте;доверяя;доверяв;доверяющий;доверявший;доверяемый;
